Glottocode,SG,SLT,DU,TRI,QUA,PAU,PL
abun1252,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
acha1250,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adan1251,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adiv1239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
agua1253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ambu1247,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
anam1249,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
anga1288,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
angi1238,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
apur1254,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
araw1273,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
araw1276,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
arhu1242,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ashe1272,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
assi1247,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
athp1241,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
atzi1235,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
awac1239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
awad1243,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
awet1244,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
babi1235,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bada1257,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bagi1246,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bani1254,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bani1255,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bare1276,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
barg1252,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bari1284,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
baur1253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
