Glottocode,split.Pro.1.incl.excl,split.Pro.3.human,split.Pro.3.animate,split.DEM.human,split.DEM.animate,split.N.kin,split.N.human,split.N.animate
abun1252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
acha1250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
adan1251,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
adiv1239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
agua1253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ambu1247,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
anam1249,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
anga1288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
angi1238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
apur1254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
araw1273,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
araw1276,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
arhu1242,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ashe1272,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
assi1247,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
athp1241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
atzi1235,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
awac1239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
awad1243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
awet1244,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
babi1235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
bada1257,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
bagi1246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
bani1254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
bani1255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
bare1276,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
barg1252,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
bari1284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
baur1253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
bawm1236,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
beng1280,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
biak1248,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
bilu1245,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
bond1245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
boro1282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
brah1256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bund1253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
buru1296,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
caqu1242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
cavi1250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
cayu1262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
cent2050,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
chan1313,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
chim1300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
choc1276,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
clas1250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
coca1259,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
coca1259,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
como1259,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
daga1275,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dand1238,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
dara1250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
darg1241,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
