Glottocode,NominalTypes
abun1252,N
abun1252,Pro.1
abun1252,Pro.2
abun1252,Pro.3
acha1250,"DEM,Pro.3.animate"
acha1250,"DEM,Pro.3.animate"
acha1250,N.animate
acha1250,N.animate
acha1250,N.inanimate
acha1250,Pro.1
acha1250,Pro.2
adan1251,Pro.1.excl
adan1251,Pro.1.incl
adan1251,Pro.2
adan1251,Pro.3
adiv1239,N
adiv1239,"N,Pro.2,Pro.3"
adiv1239,Pro.1
agua1253,Pro.1
agua1253,Pro.2
agua1253,Pro.3
ambu1247,"DEM,Pro.3"
ambu1247,"DEM,Pro.3"
ambu1247,N
ambu1247,Pro.1
ambu1247,Pro.2
ambu1247,Pro.2
anam1249,Pro.1.excl
anam1249,Pro.1.incl
anam1249,Pro.2
anam1249,Pro.3
anga1288,"DEM,N,Pro.2"
anga1288,Pro.1.excl
anga1288,Pro.1.incl
anga1288,Pro.3
angi1238,"DEM,N.animate,Pro"
angi1238,N.inanimate
apur1254,"N.animate,N.animate.no.human.kin"
apur1254,"N.animate,N.animate.no.human.kin"
apur1254,"N.animate,N.human"
apur1254,"N.animate,N.human"
apur1254,N.inanimate
apur1254,Pro.1
apur1254,Pro.2
apur1254,Pro.3
apur1254,Pro.3
araw1273,"N,Pro.3"
araw1273,Pro.1.excl
araw1273,Pro.1.incl
araw1273,Pro.2
araw1276,"DEM.animate,DEM.human"
araw1276,"N.animate,N.animate.no.human.kin,N.inanimate"
araw1276,"N.animate,N.human"
araw1276,Pro.1
araw1276,Pro.2
araw1276,"Pro.3.animate,Pro.3.human"
arhu1242,N
arhu1242,Pro.1.excl
arhu1242,Pro.1.incl
arhu1242,Pro.2
arhu1242,Pro.3
ashe1272,"DEM,N.animate,N.human,Pro.2,Pro.3"
ashe1272,"N,N.animate,N.animate.no.human.kin,N.human,N.inanimate"
ashe1272,Pro.1.excl
ashe1272,Pro.1.incl
assi1247,DEM
assi1247,"N.animate,N.animate.no.human.kin,N.inanimate"
assi1247,"N.animate,N.human"
assi1247,Pro.1
athp1241,DEM
athp1241,N
athp1241,Pro.1.excl
athp1241,Pro.1.incl
athp1241,Pro.2
athp1241,Pro.3
atzi1235,N
atzi1235,Pro.1.excl
atzi1235,Pro.1.incl
atzi1235,Pro.2
atzi1235,Pro.3
awac1239,"N,Pro.3"
awac1239,Pro.1
awac1239,Pro.2
awad1243,"DEM,N,Pro.3"
awad1243,Pro.1
awad1243,Pro.2
awet1244,"DEM,N.animate,N.human"
awet1244,"N.animate,N.animate.no.human.kin,N.inanimate"
awet1244,Pro.1.excl
